"252","102","cars/544fd449363d0.jpg","Mercedez_C_clase_Automatico","0","1","1","1","1","4","Car style","Mercedez C clase Automatico","1"
"253","119","cars/647467a188023.jpg","SLC_cabrio_Automatic","0","1","1","1","1","2","Car style","SLC cabrio Automatic","1"
"254","119","cars/590364e277114.jpg","Mercedes_C_cabrio_Automatic","0","1","1","1","1","2","Car style","Mercedes C cabrio Automatic","1"
"255","119","cars/5b8fdbd7ee34e.jpg","BMW_4_Cabrio_Automatic","0","1","1","1","1","2","Car style","BMW 4 Cabrio Automatic","1"
"256","119","cars/60ad2550c0931.jpg","Audi_A6_Automatic","0","0","0","0","0","4","Car style","Audi A6 Automatic","0"
"257","129","cars/613cf80b41203.jpg","Audi_A8_Automatic","0","1","1","1","1","4","Car style","Audi A8 Automatic","1"
"258","129","cars/602bdf522b408.jpg","Mercedes_S_Automatic","0","1","1","1","1","4","Car style","Mercedes S Automatic","1"
"259","129","cars/602d75ed4057f.jpg","Audi_A_5_Automatic","0","1","1","1","1","2","Car style","Audi A 5 Automatic","1"
"260","129","cars/6373a6c49cd5a.jpg","Audi_Q5_Automatic","0","0","1","1","1","5","Car style","Audi Q5 Automatic","1"
"261","129","cars/54e9a2a94d301.jpg","BMW_X5_Automatic","0","1","1","1","1","4","Car style","BMW X5 Automatic","1"
"262","159","cars/603248d88d865.jpg","Mercedes_E_Cabrio_Automatic","0","1","1","1","1","2","Car style","Mercedes E Cabrio Automatic","1"
"263","159","cars/5948d85f957e2.jpg","Mercedes_V_Automatic_8_pax","0","1","1","1","1","4","Car style","Mercedes V Automatic 8 pax","1"
"264","159","cars/5a9598bbac186.jpg","Mercedes_GLE_coupe_Automatic","0","1","1","1","1","4","Car style","Mercedes GLE coupe Automatic","1"
"265","159","cars/5c0e95693a841.jpg","VW_Tuareg_Automatic","0","1","0","1","1","5","Car style","VW Tuareg Automatic","1"
"266","179","cars/61cb35eab43f4.jpg","Audi_Q7_Automatic_7_Pax","0","1","1","1","1","5","Car style","Audi Q7 Automatic 7 Pax","1"
"267","289","cars/5e33149e35c4d.jpg","BMW_X5_4_0_Automatic","0","1","1","1","1","5","Car style","BMW X5 4 0 Automatic","1"
"268","289","cars/63b7ebd5a6f88.jpg","Tesla_Model_X","0","0","0","0","0","5","Car style","Tesla Model X","1"
"269","359","cars/60379cf0cb092.jpg","Audi_Q8_Automatic","0","1","0","1","1","5","Car style","Audi Q8 Automatic","1"
"270","389","cars/62c307a2b78bc.jpg","GLE_AMG_Automatic","0","1","1","1","1","5","Car style","GLE AMG Automatic","1"
"271","749","cars/62e283374da98.jpg","Audi_RS_Q8_Automatic","0","1","0","1","1","5","Car style","Audi RS Q8 Automatic","1"
